time,BTC,ETH,BNB,SOL,ADA,DOT,BUSD
0,14:12:44,23418.76,1609.25,,316.74,24.33,0.3911,6.593
0,14:12:47,23417.37,1609.25,,316.74,24.33,0.3911,6.593
0,14:12:50,23417.37,1609.24,,316.81,24.33,0.3911,6.593
0,14:12:52,23417.45,1608.91,,316.73,24.33,0.3911,6.593
0,14:12:54,23417.37,1608.92,,316.81,24.33,0.3911,6.593
0,14:12:58,23414.41,1609.24,,316.8,24.33,0.3911,6.593
0,14:13:00,23417.45,1608.97,,316.73,24.32,0.3911,6.593
0,14:13:02,23414.6,1608.92,,316.64,24.33,0.3911,6.591
0,14:13:04,23414.6,1608.92,,316.57,24.32,0.3911,6.593
0,14:13:07,23415.34,1608.97,,316.64,24.33,0.3911,6.591
0,14:13:09,23414.6,1608.94,,316.56,24.32,0.3911,6.591
0,14:13:11,23413.57,1608.91,,316.56,24.32,0.3911,6.591
0,14:13:14,23414.6,1608.91,,316.63,24.32,0.3909,6.591
0,14:13:16,23414.05,1608.81,,316.55,24.32,0.3909,6.591
0,14:13:18,23413.57,1608.81,,316.61,24.32,0.3909,6.591
0,14:13:21,23413.57,1608.83,,316.61,24.32,0.3909,6.591
0,14:13:23,23413.77,1608.83,,316.58,24.32,0.3909,6.591
0,14:13:25,23413.77,1608.81,,316.58,24.32,0.3909,6.59
0,14:13:27,23413.04,1608.77,,316.61,24.32,0.3909,6.59
0,14:13:30,23414.05,1608.8,,316.61,24.32,0.3909,6.59
0,14:13:32,23412.49,1608.51,,316.58,24.32,0.3909,6.59
0,14:13:34,23412.86,1608.44,,316.58,24.32,0.3909,6.59
0,14:13:36,23412.78,1608.44,,316.57,24.32,0.3909,6.59
0,14:13:39,23412.49,1608.44,,316.57,24.32,0.3909,6.59
0,14:13:41,23409.28,1608.44,,316.57,24.32,0.3909,6.572
0,14:13:43,23409.28,1608.44,,316.57,24.31,0.3909,6.59
0,14:13:45,23409.35,1608.51,,316.57,24.31,0.3909,6.571
0,14:13:48,23409.34,1608.51,,316.57,24.31,0.3908,6.571
0,14:13:50,23412.48,1608.51,,316.57,24.31,0.3908,6.571
0,14:13:53,23407.45,1608.51,,316.57,24.31,0.3908,6.571
0,14:13:56,23409.34,1608.47,,316.57,24.31,0.3908,6.571
0,14:13:58,23407.45,1608.47,,316.56,24.31,0.3908,6.571
0,14:14:00,23407.45,1608.47,,316.56,24.31,0.3908,6.571
0,14:14:02,23407.64,1608.47,,316.56,24.31,0.3906,6.571
0,14:14:05,23407.45,1608.38,,316.56,24.31,0.3908,6.571
0,14:14:07,23407.45,1608.47,,316.56,24.31,0.3908,6.571
0,14:14:09,23407.41,1608.47,,316.56,24.31,0.3906,6.571
0,14:14:12,23405.91,1608.38,,316.57,24.31,0.3906,6.571
0,14:14:14,23406.02,1608.38,,316.56,24.31,0.3906,6.571
0,14:14:16,23406.02,1608.34,,316.56,24.31,0.3906,6.571
0,14:14:19,23406.02,1608.34,,316.56,24.31,0.3906,6.571
0,14:14:21,23405.37,1608.39,,316.56,24.31,0.3906,6.57
0,14:14:23,23405.91,1608.39,,316.56,24.31,0.3906,6.571
0,14:14:25,23406.75,1608.39,,316.56,24.31,0.3906,6.571
0,14:14:28,23405.37,1608.39,,316.56,24.31,0.3906,6.57
0,14:14:30,23405.37,1608.32,,316.64,24.3,0.3906,6.569
0,14:14:32,23405.32,1608.38,,316.56,24.3,0.3906,6.57
0,14:14:35,23405.37,1608.31,,316.56,24.3,0.3906,6.57
0,14:14:37,23405.39,1608.31,,316.64,24.31,0.3906,6.569
0,14:14:39,23404.67,1608.28,,316.64,24.3,0.3906,6.569
0,14:14:42,23404.67,1607.82,,316.64,24.3,0.3905,6.569
0,14:14:45,23404.55,1607.89,,316.63,24.3,0.3905,6.569
0,14:14:47,23404.67,1607.89,,316.56,24.3,0.3905,6.569
0,14:14:49,23403.46,1607.82,,316.56,24.3,0.3905,6.569
0,14:14:51,23403.37,1607.82,,316.63,24.3,0.3905,6.569
